time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/clip_range,train/approx_kl,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,eval/mean_reward,eval/mean_ep_length
1024,117.85714285714286,373,2,-251.43571428571428,1,,,,,,,,,,,,
2048,128.33333333333334,202,10,-281.91333333333336,2,0.2,0.008783622,-0.9458647582679987,10,1392.1280490875245,726.1199340820312,-0.009523647349851672,0.0003,0.0708984375,0.0031945109367370605,,
3072,127.0,206,14,-270.39166666666665,3,0.2,0.0075974916,-1.048950833827257,20,1409.7082092285157,742.7335205078125,-0.0054220052086748185,0.0003,0.03798828125,7.092952728271484e-05,,
4096,124.0909090909091,210,19,-261.0530303030303,4,0.2,0.007355842,-0.9984713740646839,30,1578.7240142822266,560.9091186523438,-0.00858831724326592,0.0003,0.0515625,-0.00010323524475097656,,
5120,127.425,222,22,-265.1,5,0.2,0.006785861,-0.9605387564748525,40,1655.2436462402343,629.4315795898438,-0.006807044276501984,0.0003,0.03056640625,-0.00010454654693603516,,
6144,130.43478260869566,241,25,-270.0478260869565,6,0.2,0.008117004,-1.018587327376008,50,1400.1718353271485,595.5464477539062,-0.007733772307983599,0.0003,0.0474609375,5.066394805908203e-06,,
7168,134.9433962264151,259,27,-283.6905660377359,7,0.2,0.009515564,-1.096632454916835,60,1284.1764274597167,503.2132263183594,-0.010910723482083995,0.0003,0.07529296875,2.473592758178711e-05,,
8192,,,,,,0.2,0.010004599,-0.93275912925601,70,1283.6525108337403,519.4395751953125,-0.010173419158672915,0.0003,0.04912109375,8.761882781982422e-06,-822.610018825531,200.0
8192,134.25,250,32,-279.0291666666666,8,,,,,,,,,,,,
9216,134.9264705882353,262,35,-280.7830882352941,9,0.2,0.009961468,-1.0019593246281147,80,1535.9338241577148,760.2315673828125,-0.011899550986709074,0.0003,0.09462890625,-2.6226043701171875e-06,,
10240,138.45205479452054,276,37,-291.69315068493154,10,0.2,0.011276007,-0.9808237500488758,90,1383.0707202911376,783.4749755859375,-0.013396378548350185,0.0003,0.11044921875,-2.014636993408203e-05,,
11264,138.8148148148148,291,38,-294.59444444444443,11,0.2,0.0063410634,-0.9755382765084505,100,1203.9559673309327,508.01397705078125,-0.005976720681064762,0.0003,0.0228515625,-1.0728836059570312e-06,,
12288,136.45555555555555,303,40,-285.6433333333334,12,0.2,0.006249928,-1.0422612186521292,110,1297.4725662231444,695.37060546875,-0.010535549593623728,0.0003,0.03408203125,-1.6927719116210938e-05,,
13312,135.4742268041237,303,43,-281.6427835051547,13,0.2,0.0070871916,-1.044215651974082,120,1583.4356052398682,619.5203857421875,-0.007689913635840639,0.0003,0.02587890625,-4.0531158447265625e-06,,
14336,136.83,288,49,-285.94199999999995,14,0.2,0.0057513067,-0.9693458747118712,130,1555.35641746521,807.7881469726562,-0.006649290191126056,0.0003,0.03623046875,-4.172325134277344e-06,,
15360,133.55,296,51,-273.60949999999997,15,0.2,0.0067220186,-0.9529409315437078,140,1533.6161571502685,585.0657348632812,-0.013090623068273998,0.0003,0.04580078125,-6.67572021484375e-06,,
16384,,,,,,0.2,0.010483967,-0.9555018614977598,150,1614.5474262237549,921.4425048828125,-0.012931236761505715,0.0003,0.0830078125,-3.4570693969726562e-06,-824.550018787384,200.0
16384,134.36,300,54,-273.19200000000006,16,,,,,,,,,,,,
17408,134.07,308,56,-270.25100000000003,17,0.2,0.016322756,-1.0045701138675214,160,1690.46813621521,960.34619140625,-0.015364788667648099,0.0003,0.20849609375,-3.5762786865234375e-07,,
18432,133.3,315,58,-268.91299999999995,18,0.2,0.008574634,-1.0002720326185226,170,1526.418180847168,975.3845825195312,-0.012629909653333016,0.0003,0.12626953125,2.3245811462402344e-06,,
19456,132.56,318,61,-267.50849999999997,19,0.2,0.011898015,-1.0064566317945718,180,1753.7121952056884,894.1535034179688,-0.0074966585438232865,0.0003,0.06015625,-2.0265579223632812e-06,,
20480,126.88,318,64,-247.82350000000002,20,0.2,0.0070044324,-1.0203917022794484,190,1470.6918418884277,799.0467529296875,-0.0074656932818470524,0.0003,0.0283203125,5.960464477539062e-07,,
21504,127.69,325,66,-251.937,21,0.2,0.010569449,-0.9489445678889752,200,1901.0407928466798,1076.820068359375,-0.00016362065216526389,0.0003,0.3345703125,-3.5762786865234375e-07,,
22528,119.83,332,67,-226.783,22,0.2,0.00061486254,-0.9632616452872753,210,1665.1845718383788,915.8384399414062,-0.0014049704273929819,0.0003,0.0,3.5762786865234375e-07,,
23552,121.24,338,69,-231.80199999999996,23,0.2,0.015125228,-1.0052471566945314,220,2369.493438720703,1564.4700927734375,-0.013676109339576215,0.0003,0.215234375,1.0132789611816406e-06,,
24576,,,,,,0.2,0.006139596,-0.966364286839962,230,1171.5607707977294,397.63836669921875,-0.007453959481790662,0.0003,0.01005859375,1.1920928955078125e-07,-812.0200185775757,200.0
24576,119.8,340,72,-229.951,24,,,,,,,,,,,,
25600,114.61,345,74,-213.15200000000002,25,0.2,0.0026753268,-1.0028582457453012,240,2076.364287185669,564.9798583984375,-0.0041754176840186116,0.0003,0.01357421875,-2.384185791015625e-07,,
26624,113.75,350,76,-210.4575,26,0.2,0.00754797,-0.9554906189441681,250,2041.221103668213,1365.652587890625,-0.005175784174934961,0.0003,0.03056640625,5.960464477539062e-07,,
27648,113.12,354,77,-208.86500000000004,27,0.2,0.00791099,-0.9471002813428641,260,2228.3605918884277,934.5371704101562,-0.002766529069049284,0.0003,0.3076171875,1.1920928955078125e-07,,
28672,114.11,359,79,-211.7975,28,0.2,0.020649707,-0.9737004119902849,270,1735.6935405731201,1430.7926025390625,-0.0020115614723181354,0.0003,0.078125,1.1920928955078125e-06,,
29696,112.98,363,81,-210.17950000000005,29,0.2,0.00025594645,-0.9739183109253645,280,1666.5707218170166,690.4166870117188,-0.00047686657489975914,0.0003,0.0,8.344650268554688e-07,,
30720,109.0,367,83,-200.597,30,0.2,0.0070612077,-0.9444509755820036,290,2226.2035793304444,717.7251586914062,-0.008548456316930242,0.0003,0.1490234375,0.0,,
31744,109.03,371,85,-200.9335,31,0.2,0.006236354,-1.0008355919271708,300,2144.089646530151,1486.9395751953125,-0.0055051558359991756,0.0003,0.02275390625,2.384185791015625e-07,,
32768,,,,,,0.2,0.008668557,-0.9537305194884539,310,1799.7883907318114,1585.5799560546875,-0.006976318595116026,0.0003,0.070703125,-8.344650268554688e-07,-623.8400146484375,160.2
32768,109.08,376,86,-202.92350000000002,32,,,,,,,,,,,,
33792,108.51,383,88,-201.94250000000002,33,0.2,0.0006582135,-1.0032964423298836,320,1270.4992530822753,343.9061584472656,-0.0015432282219990157,0.0003,0.0,-1.5497207641601562e-06,,
34816,106.21,389,89,-194.51249999999996,34,0.2,0.007928899,-1.0070038504898549,330,2732.4224956512453,1054.5712890625,-0.0081932527362369,0.0003,0.06044921875,1.0132789611816406e-06,,
35840,110.24,396,90,-208.00799999999998,35,0.2,0.008914974,-0.8787113815546036,340,2456.0588832855224,1502.93994140625,-0.010505279316566885,0.0003,0.08388671875,1.3113021850585938e-06,,
36864,112.29,401,91,-215.52550000000002,36,0.2,0.0026935614,-0.939923107996583,350,1771.1000659942626,737.9871826171875,-0.004311078717000783,0.0003,0.0001953125,0.0018113255500793457,,
