#{"t_start": 1777807283.4421492, "env_id": "None"}
r,l,t
99.0,4,5.011526
84.4,6,5.0317
-469.7,200,5.517456
-508.45,200,6.007902
69.8,15,6.047911
-493.8,200,6.548542
-541.3,200,6.973244
-557.95,200,11.72719
95.85,4,11.738382
-92.95,91,11.967695
-523.65,200,12.577666
92.85,5,12.59567
-468.9,200,13.135336
-475.4,200,13.773759
-538.5,200,14.557009
-526.9,200,17.61879
71.7,25,17.684687
-78.85,78,17.856997
-572.95,200,18.29808
69.3,17,18.345127
-79.05,85,18.515439
-465.95,200,18.890213
-508.9,200,19.399209
-169.1,118,19.66138
-548.6,200,22.299929
-555.55,200,22.866071
100.0,1,22.873052
-287.7,141,23.201282
-24.6,55,23.306446
-490.2,200,23.706136
-297.5,153,24.114285
95.85,4,24.123305
-117.05,93,24.327996
-19.05,68,26.16432
-0.3,55,26.248534
-202.1,128,26.549378
-475.3,200,27.003624
-561.8,200,27.295442
-250.15,151,27.525569
-480.55,200,27.788394
-16.4,61,28.887085
-484.8,200,29.287842
-111.7,96,29.407556
-493.9,200,29.663604
-505.25,200,29.913399
-206.15,146,30.105466
-474.8,200,31.054374
-158.25,113,31.156521
28.2,39,31.191347
-568.5,200,31.439282
-526.45,200,31.782573
-439.4,200,32.134404
-474.2,200,32.448777
-255.25,164,33.754349
-581.5,200,34.19898
-524.2,200,34.670243
-173.6,118,34.959359
63.95,15,34.994864
-61.1,82,35.20157
-174.45,124,35.509841
-494.95,200,38.740752
103.0,4,38.744752
-506.65,200,39.115926
-218.65,126,39.305893
-178.35,112,39.465798
-527.6,200,39.701552
-462.75,200,39.865119
-65.55,78,39.919896
-527.65,200,41.11998
-218.3,132,41.261611
-458.8,200,41.419021
-487.95,200,41.597663
-507.65,200,41.801285
-570.3,200,42.580662
-61.65,86,42.685199
-517.85,200,42.860086
-526.7,200,43.073955
-4.65,45,43.111479
-480.7,200,43.289015
94.7,6,43.294014
-501.4,200,43.499965
51.7,28,44.330908
-292.6,170,44.479889
-495.5,200,44.662671
-325.9,188,44.866932
-518.6,200,45.1339
-489.75,200,45.304805
100.0,1,45.307802
47.1,33,45.35171
77.8,17,45.379818
-119.45,103,46.157928
-155.8,120,46.280572
31.15,29,46.3266
-317.95,144,46.523335
-493.95,200,47.209293
-50.4,64,47.407035
-505.05,200,48.083344
-478.4,200,51.651841
-559.9,200,52.399168
-15.7,61,52.602069
